dh01,dh01,0
dh01,dh02,4
dh01,dh03,0
dh01,dh04,4
dh01,dh05,5
dh01,dh06,3
dh01,dh07,4
dh01,dh08,3
dh01,dh09,3
dh01,dh10,1
dh01,dh11,4
dh01,dh12,5
dh01,dh13,1
dh01,dh14,0
dh01,dh15,1
dh01,dh16,2
dh01,dh17,3
dh01,dh18,4
dh01,dh19,5
dh01,dh20,0
dh01,dh21,0
dh01,dh22,0
dh01,dh23,5
dh01,dh24,3
dh01,dh25,0
dh01,dh26,5
dh01,dh27,0
dh01,dh28,2
dh01,dh29,1
dh01,dh30,1
dh01,dh31,0
dh01,dh32,0
dh01,dh33,5
dh01,dh34,2
dh01,dh35,1
dh01,dh36,2
dh01,dh37,0
dh01,dh38,3
dh01,dh39,0
dh01,dh40,2
dh01,dh41,3
dh01,dh42,4
dh01,dh43,5
dh01,dh44,3
dh02,dh01,1
dh02,dh02,0
dh02,dh03,2
dh02,dh04,2
dh02,dh05,5
dh02,dh06,0
dh02,dh07,0
dh02,dh08,5
dh02,dh09,1
dh02,dh10,1
dh02,dh11,3
dh02,dh12,3
dh02,dh13,3
dh02,dh14,3
dh02,dh15,0
dh02,dh16,5
dh02,dh17,5
dh02,dh18,2
dh02,dh19,2
dh02,dh20,2
dh02,dh21,1
dh02,dh22,5
dh02,dh23,3
dh02,dh24,2
dh02,dh25,2
dh02,dh26,3
dh02,dh27,0
dh02,dh28,5
dh02,dh29,4
dh02,dh30,2
dh02,dh31,3
dh02,dh32,3
dh02,dh33,2
dh02,dh34,2
dh02,dh35,3
dh02,dh36,2
dh02,dh37,3
dh02,dh38,2
dh02,dh39,3
dh02,dh40,1
dh02,dh41,1
dh02,dh42,0
dh02,dh43,1
dh02,dh44,2
dh03,dh01,2
dh03,dh02,1
dh03,dh03,0
dh03,dh04,5
dh03,dh05,1
dh03,dh06,3
dh03,dh07,2
dh03,dh08,5
dh03,dh09,0
dh03,dh10,2
dh03,dh11,5
dh03,dh12,4
dh03,dh13,1
dh03,dh14,2
dh03,dh15,4
dh03,dh16,1
dh03,dh17,4
dh03,dh18,1
dh03,dh19,0
dh03,dh20,4
dh03,dh21,3
dh03,dh22,2
dh03,dh23,3
dh03,dh24,4
dh03,dh25,2
dh03,dh26,3
dh03,dh27,0
dh03,dh28,5
dh03,dh29,0
dh03,dh30,1
dh03,dh31,3
dh03,dh32,0
dh03,dh33,5
dh03,dh34,3
dh03,dh35,3
dh03,dh36,3
dh03,dh37,4
dh03,dh38,3
dh03,dh39,4
dh03,dh40,1
dh03,dh41,4
dh03,dh42,1
dh03,dh43,2
dh03,dh44,0
dh04,dh01,0
dh04,dh02,4
dh04,dh03,4
dh04,dh04,0
dh04,dh05,1
dh04,dh06,5
dh04,dh07,4
dh04,dh08,5
dh04,dh09,3
dh04,dh10,2
dh04,dh11,5
dh04,dh12,0
dh04,dh13,3
dh04,dh14,2
dh04,dh15,1
dh04,dh16,5
dh04,dh17,4
dh04,dh18,5
dh04,dh19,2
dh04,dh20,3
dh04,dh21,3
dh04,dh22,3
