dh01,dh01,0,0
dh01,dh02,4,1
dh01,dh03,0,2
dh01,dh04,4,0
dh01,dh05,5,3
dh01,dh06,3,5
dh01,dh07,4,5
dh01,dh08,3,1
dh01,dh09,3,1
dh01,dh10,1,5
dh01,dh11,4,2
dh01,dh12,5,4
dh01,dh13,1,1
dh01,dh14,0,4
dh01,dh15,1,1
dh01,dh16,2,1
dh01,dh17,3,0
dh01,dh18,4,3
dh01,dh19,5,4
dh01,dh20,0,4
dh01,dh21,0,5
dh01,dh22,0,1
dh01,dh23,5,5
dh01,dh24,3,1
dh01,dh25,0,4
dh01,dh26,5,1
dh01,dh27,0,2
dh01,dh28,2,5
dh01,dh29,1,2
dh01,dh30,1,2
dh01,dh31,0,4
dh01,dh32,0,1
dh01,dh33,5,0
dh01,dh34,2,0
dh01,dh35,1,4
dh01,dh36,2,2
dh01,dh37,0,5
dh01,dh38,3,2
dh01,dh39,0,5
dh01,dh40,2,4
dh01,dh41,3,0
dh01,dh42,4,3
dh01,dh43,5,4
dh01,dh44,3,3
dh02,dh02,0,0
dh02,dh03,2,1
dh02,dh04,2,4
dh02,dh05,5,2
dh02,dh06,0,1
dh02,dh07,0,5
dh02,dh08,5,0
dh02,dh09,1,4
dh02,dh10,1,4
dh02,dh11,3,5
dh02,dh12,3,2
dh02,dh13,3,2
dh02,dh14,3,2
dh02,dh15,0,4
dh02,dh16,5,5
dh02,dh17,5,0
dh02,dh18,2,5
dh02,dh19,2,1
dh02,dh20,2,3
dh02,dh21,1,0
dh02,dh22,5,1
dh02,dh23,3,4
dh02,dh24,2,1
dh02,dh25,2,0
dh02,dh26,3,4
dh02,dh27,0,3
dh02,dh28,5,4
dh02,dh29,4,5
dh02,dh30,2,4
dh02,dh31,3,0
dh02,dh32,3,4
dh02,dh33,2,4
dh02,dh34,2,4
dh02,dh35,3,5
dh02,dh36,2,0
dh02,dh37,3,0
dh02,dh38,2,5
dh02,dh39,3,1
dh02,dh40,1,2
dh02,dh41,1,2
dh02,dh42,0,5
dh02,dh43,1,2
dh02,dh44,2,5
dh03,dh03,0,0
dh03,dh04,5,4
dh03,dh05,1,5
dh03,dh06,3,3
dh03,dh07,2,0
dh03,dh08,5,3
dh03,dh09,0,3
dh03,dh10,2,4
dh03,dh11,5,4
dh03,dh12,4,0
dh03,dh13,1,2
dh03,dh14,2,5
dh03,dh15,4,5
dh03,dh16,1,1
dh03,dh17,4,3
dh03,dh18,1,3
dh03,dh19,0,1
dh03,dh20,4,0
dh03,dh21,3,1
dh03,dh22,2,4
dh03,dh23,3,1
dh03,dh24,4,3
dh03,dh25,2,0
dh03,dh26,3,4
dh03,dh27,0,1
dh03,dh28,5,1
dh03,dh29,0,5
dh03,dh30,1,4
dh03,dh31,3,3
dh03,dh32,0,1
dh03,dh33,5,2
dh03,dh34,3,0
dh03,dh35,3,0
dh03,dh36,3,1
dh03,dh37,4,0
dh03,dh38,3,2
dh03,dh39,4,0
dh03,dh40,1,1
dh03,dh41,4,4
dh03,dh42,1,5
dh03,dh43,2,5
dh03,dh44,0,2
dh04,dh04,0,0
dh04,dh05,1,3
dh04,dh06,5,4
dh04,dh07,4,3
dh04,dh08,5,2
dh04,dh09,3,4
dh04,dh10,2,2
dh04,dh11,5,3
dh04,dh12,0,2
dh04,dh13,3,5
dh04,dh14,2,2
dh04,dh15,1,1
dh04,dh16,5,0
dh04,dh17,4,0
dh04,dh18,5,3
dh04,dh19,2,0
dh04,dh20,3,1
dh04,dh21,3,4
dh04,dh22,3,0
dh04,dh23,1,2
dh04,dh24,4,1
dh04,dh25,2,1
dh04,dh26,2,3
dh04,dh27,0,5
dh04,dh28,3,1
dh04,dh29,0,3
dh04,dh30,2,3
dh04,dh31,5,5
dh04,dh32,3,2
dh04,dh33,2,2
dh04,dh34,0,5
dh04,dh35,3,4
dh04,dh36,4,5
dh04,dh37,1,3
dh04,dh38,4,1
dh04,dh39,5,3
dh04,dh40,2,3
dh04,dh41,4,2
dh04,dh42,1,4
dh04,dh43,2,2
dh04,dh44,4,1
dh05,dh05,0,0
dh05,dh06,3,4
dh05,dh07,4,0
dh05,dh08,1,5
dh05,dh09,5,5
dh05,dh10,0,5
dh05,dh11,2,0
dh05,dh12,4,5
dh05,dh13,0,0
dh05,dh14,1,1
dh05,dh15,1,1
dh05,dh16,3,2
dh05,dh17,5,2
dh05,dh18,4,4
dh05,dh19,1,1
dh05,dh20,5,1
dh05,dh21,5,3
dh05,dh22,5,5
dh05,dh23,4,5
dh05,dh24,1,4
dh05,dh25,4,1
dh05,dh26,5,5
dh05,dh27,0,5
dh05,dh28,3,3
dh05,dh29,4,0
dh05,dh30,3,1
dh05,dh31,1,2
dh05,dh32,5,0
dh05,dh33,4,1
dh05,dh34,3,3
dh05,dh35,2,4
dh05,dh36,2,2
